tag,description
suppout, Feelings of support outside of Colorado Academy
suppin, Feelings of support inside of Colorado Academy
aff, Thoughts on affinity spaces or groups
in, Transitioning into Colorado Academy
out, Transitioning out of Colorado Academy
exp, Unique stories of lived experiences
belo, Stories of belonging
reps, Views on representations
motiv, Discussions on motivations
comp, Comparing themselves to others
respo, Responibilities faced by students
